name,ply,rolls,sheets,uses,price,cost/use,url,
tork,3,8,250,666.6666666666666,9.99,0.014985000000000002,https://www.amazon.co.uk/dp/B000MQHNDY,
valentine,3,2,170,113.33333333333333,12.99,0.11461764705882353,https://www.amazon.co.uk/dp/B082NP6GHW,
velvet,3,16,150,800,7.25,0.0090625,"asda uber eats",
velvet,3,24,150,1200,8,0.006666666666666667,spar,
velvet,3,24,150,1200,8.07,0.006725,https://www.amazon.co.uk/dp/B08HLGKP9J,https://www.tesco.com/groceries/en-GB/products/305837579
"velvet spring fresh",3,9,150,450,3.3,0.007333333333333333,https://www.tesco.com/groceries/en-GB/products/317547041,
"waitfor multicolor 2",3,1,170,56.666666666666664,5.4799999999999995,0.09670588235294117,https://www.amazon.co.uk/dp/B085HSLQ41,
wanshop,3,1,170,56.666666666666664,4.64,0.08188235294117646,https://www.amazon.co.uk/dp/B07JFK9GXD,
"who gives a crap",3,48,400,6400,46.99,0.007342187500000001,https://www.amazon.co.uk/dp/B07MB5ZZ2Q,
"who gives a crap",3,6,360,720,6.25,0.008680555555555556,https://www.amazon.co.uk/dp/B07PVGB19S,
