name,ply,rolls,sheets,uses,multiQuan,multiDisc,cost,delivery,useCost,useCostDisc,url
jacks luxury,3,4,170,226,1,1,3.19,0,0.01411504424778761,0.01411504424778761,uber eats londis
tesco luxury soft quilted,3,6,240,480,1,1,4.3,2.99,0.0151875,0.0151875,https://www.tesco.com/groceries/en-GB/products/312092758
velvet,3,24,150,1200,1,1,8.5,4,0.010416666666666666,0.010416666666666666,https://www.tesco.com/groceries/en-GB/products/305837579
co-op quilted,3,6,240,480,1,1,5.2,0,0.010833333333333334,0.010833333333333334,uber eats co-op ladybarn
co-op quilted,3,4,240,320,1,1,4.1,0,0.0128125,0.0128125,uber eats co-op oxford road
co-op quilted,3,6,240,480,1,1,5.2,0,0.010833333333333334,0.010833333333333334,uber eats co-op oxford road
co-op quilted,3,4,240,320,1,1,4.1,0,0.0128125,0.0128125,uber eats co-op ancoats
co-op quilted,3,6,240,480,1,1,5.2,0,0.010833333333333334,0.010833333333333334,uber eats co-op ancoats
co-op quilted,3,4,240,320,1,1,4.1,0,0.0128125,0.0128125,uber eats co-op cornbrook
co-op quilted,3,6,240,480,1,1,5.2,0,0.010833333333333334,0.010833333333333334,uber eats co-op cornbrook
amazon Quilted pattern b,4,12,160,960,4,0.85,9.16,0,0.009541666666666667,0.008110416666666667,https://www.amazon.co.uk/dp/B08KJ2VK39
nicky elite Coconut Fresh,3,24,168,1344,1,1,25,0,0.018601190476190476,0.018601190476190476,https://www.amazon.co.uk/dp/B0D5DPLT3C
nicky elite,3,18,168,1008,1,1,9.6,0,0.009523809523809523,0.009523809523809523,https://www.amazon.co.uk/dp/B087LKGP3M
nicky elite Coconut Fresh,3,45,168,2520,3,0.9,21.94,0,0.008706349206349207,0.007835714285714286,https://www.amazon.co.uk/dp/B0BMW3PXG2
nicky elite,3,45,168,2520,1,1,21.25,0,0.008432539682539682,0.008432539682539682,https://www.amazon.co.uk/dp/B07YDW7WPF
andrex ultimate quilts,3,24,160,1280,1,1,13.75,0,0.0107421875,0.0107421875,https://www.amazon.co.uk/dp/B0D6NNG1FG
andrex ultimate quilts,3,24,160,1280,4,0.95,14,0,0.0109375,0.010390624999999999,https://www.amazon.co.uk/dp/B0B21DW5DL
andrex ultimate quilts mega,3,18,235,1410,1,1,15,0,0.010638297872340425,0.010638297872340425,https://www.amazon.co.uk/dp/B0CQG6JSNZ
andrex ultimate quilts,3,9,160,480,4,0.95,5,0,0.010416666666666666,0.009895833333333333,https://www.amazon.co.uk/dp/B0B71BNF3C
softesse quilted,3,60,170,3400,1,1,16.99,0,0.004997058823529412,0.004997058823529412,https://www.amazon.co.uk/dp/B0DWT6GRRM
freedom inspirations shea butter,3,45,160,2400,1,1,16.99,0,0.007079166666666666,0.007079166666666666,https://www.amazon.co.uk/dp/B07451TJS8
regina gentle soft,3,45,160,2400,1,1,17.8,0,0.007416666666666667,0.007416666666666667,https://www.amazon.co.uk/dp/B0D986KBXQ
regina gentle soft,3,24,160,1280,1,1,10.95,0,0.0085546875,0.0085546875,https://www.amazon.co.uk/dp/B0CYTJ4S29
evo ultra,3,120,130,5200,1,1,34,0,0.006538461538461538,0.006538461538461538,https://www.amazon.co.uk/dp/B006WVP5II
andrex ultimate quilts,3,36,160,1920,1,1,19,0,0.009895833333333333,0.009895833333333333,https://www.amazon.co.uk/dp/B0B21DW55N
andrex ultimate quilts aloe,3,36,155,1860,1,1,20,0,0.010752688172043012,0.010752688172043012,https://www.amazon.co.uk/dp/B0D6NLPGVV
andrex ultimate quilts vanilla,3,36,160,1920,1,1,20,0,0.010416666666666666,0.010416666666666666,https://www.amazon.co.uk/dp/B0D6NLRZXV
andrex ultimate quilts,3,16,160,853,1,1,8.5,0,0.00996483001172333,0.00996483001172333,https://www.amazon.co.uk/dp/B01231Z1LQ
andrex supreme quilts,3,9,160,480,1,1,9.69,0,0.0201875,0.0201875,https://www.amazon.co.uk/dp/B014LL3HSA
andrex supreme quilts,3,12,160,640,3,0.94,14.37,0,0.022453124999999997,0.021105937499999998,https://www.amazon.co.uk/dp/B005JKPO7K
kirkland signature,3,40,240,3200,3,7,28.29,0,0.008840625,0.061884375,https://www.amazon.co.uk/dp/B074VCZ6JL
andrex fammily soft,3,45,170,2560,1,1,18.64,0,0.0113203125,0.0113203125,https://www.amazon.co.uk/dp/B004OCO20E
andrex fammily soft,3,24,170,2560,1,0.95,9.94,0,0.0113203125,0.0113203125,https://www.amazon.co.uk/dp/B07YK9JWH4
andrex fammily soft,3,72,170,2560,1,1,29.82,0,0.0113203125,0.0113203125,https://www.amazon.co.uk/dp/B07PB8PW7K
splesh original,3,72,150,3600,1,1,23.99,0,0.007775,0.007775,https://www.amazon.co.uk/dp/B07KRFC8FL
splesh original,3,60,150,3600,1,1,23.99,0,0.007775,0.007775,https://www.amazon.co.uk/dp/B06WD1FD7Y
splesh aloe vera,3,72,150,3600,1,1,34.49,0,0.007775,0.007775,https://www.amazon.co.uk/dp/B07KRH85XB
andrex ultimate quilts,3,45,160,853,1,1,27.6,0,0.00996483001172333,0.00996483001172333,https://www.amazon.co.uk/dp/B0BB7GGGYR
